deliveryDate,deliveryHour,deliveryInterval,settlementPoint,settlementPointType,settlementPointPrice,DSTFlag
2026-01-03,1,1,HB_NORTH,HU,16.85,False
2026-01-03,1,2,HB_NORTH,HU,16.15,False
2026-01-03,1,3,HB_NORTH,HU,16.44,False
2026-01-03,1,4,HB_NORTH,HU,16.1,False
2026-01-03,2,1,HB_NORTH,HU,15.41,False
2026-01-03,2,2,HB_NORTH,HU,15.01,False
2026-01-03,2,3,HB_NORTH,HU,15.24,False
2026-01-03,2,4,HB_NORTH,HU,15.25,False
2026-01-03,3,1,HB_NORTH,HU,15.73,False
2026-01-03,3,2,HB_NORTH,HU,15.68,False
2026-01-03,3,3,HB_NORTH,HU,16.43,False
2026-01-03,3,4,HB_NORTH,HU,16.1,False
2026-01-03,4,1,HB_NORTH,HU,15.64,False
2026-01-03,4,2,HB_NORTH,HU,14.5,False
2026-01-03,4,3,HB_NORTH,HU,13.8,False
2026-01-03,4,4,HB_NORTH,HU,13.81,False
2026-01-03,5,1,HB_NORTH,HU,13.78,False
2026-01-03,5,2,HB_NORTH,HU,13.92,False
2026-01-03,5,3,HB_NORTH,HU,14.0,False
2026-01-03,5,4,HB_NORTH,HU,14.18,False
2026-01-03,6,1,HB_NORTH,HU,15.2,False
2026-01-03,6,2,HB_NORTH,HU,15.58,False
2026-01-03,6,3,HB_NORTH,HU,15.75,False
2026-01-03,6,4,HB_NORTH,HU,16.23,False
2026-01-03,7,1,HB_NORTH,HU,17.35,False
2026-01-03,7,2,HB_NORTH,HU,17.81,False
2026-01-03,7,3,HB_NORTH,HU,19.21,False
2026-01-03,7,4,HB_NORTH,HU,18.92,False
2026-01-03,8,1,HB_NORTH,HU,17.79,False
2026-01-03,8,2,HB_NORTH,HU,18.92,False
2026-01-03,8,3,HB_NORTH,HU,17.82,False
2026-01-03,8,4,HB_NORTH,HU,17.14,False
2026-01-03,9,1,HB_NORTH,HU,16.28,False
2026-01-03,9,2,HB_NORTH,HU,14.21,False
2026-01-03,9,3,HB_NORTH,HU,12.93,False
2026-01-03,9,4,HB_NORTH,HU,10.91,False
2026-01-03,10,1,HB_NORTH,HU,9.64,False
2026-01-03,10,2,HB_NORTH,HU,11.58,False
2026-01-03,10,3,HB_NORTH,HU,14.2,False
2026-01-03,10,4,HB_NORTH,HU,15.89,False
2026-01-03,11,1,HB_NORTH,HU,17.55,False
2026-01-03,11,2,HB_NORTH,HU,18.35,False
2026-01-03,11,3,HB_NORTH,HU,19.66,False
2026-01-03,11,4,HB_NORTH,HU,22.25,False
2026-01-03,12,1,HB_NORTH,HU,24.8,False
2026-01-03,12,2,HB_NORTH,HU,23.81,False
2026-01-03,12,3,HB_NORTH,HU,20.11,False
2026-01-03,12,4,HB_NORTH,HU,17.93,False
2026-01-03,13,1,HB_NORTH,HU,16.05,False
2026-01-03,13,2,HB_NORTH,HU,13.29,False
2026-01-03,13,3,HB_NORTH,HU,13.4,False
2026-01-03,13,4,HB_NORTH,HU,14.0,False
2026-01-03,14,1,HB_NORTH,HU,14.19,False
2026-01-03,14,2,HB_NORTH,HU,14.16,False
2026-01-03,14,3,HB_NORTH,HU,13.91,False
2026-01-03,14,4,HB_NORTH,HU,13.59,False
2026-01-03,15,1,HB_NORTH,HU,12.12,False
2026-01-03,15,2,HB_NORTH,HU,11.15,False
2026-01-03,15,3,HB_NORTH,HU,11.15,False
2026-01-03,15,4,HB_NORTH,HU,10.31,False
2026-01-03,16,1,HB_NORTH,HU,6.81,False
2026-01-03,16,2,HB_NORTH,HU,0.23,False
2026-01-03,16,3,HB_NORTH,HU,1.02,False
2026-01-03,16,4,HB_NORTH,HU,0.0,False
2026-01-03,17,1,HB_NORTH,HU,11.69,False
2026-01-03,17,2,HB_NORTH,HU,20.05,False
2026-01-03,17,3,HB_NORTH,HU,28.85,False
2026-01-03,17,4,HB_NORTH,HU,41.45,False
2026-01-03,18,1,HB_NORTH,HU,42.28,False
2026-01-03,18,2,HB_NORTH,HU,43.51,False
2026-01-03,18,3,HB_NORTH,HU,45.6,False
2026-01-03,18,4,HB_NORTH,HU,44.39,False
2026-01-03,19,1,HB_NORTH,HU,41.92,False
2026-01-03,19,2,HB_NORTH,HU,37.21,False
2026-01-03,19,3,HB_NORTH,HU,36.11,False
2026-01-03,19,4,HB_NORTH,HU,36.33,False
2026-01-03,20,1,HB_NORTH,HU,42.94,False
2026-01-03,20,2,HB_NORTH,HU,51.03,False
2026-01-03,20,3,HB_NORTH,HU,53.3,False
2026-01-03,20,4,HB_NORTH,HU,54.14,False
2026-01-03,21,1,HB_NORTH,HU,74.52,False
2026-01-03,21,2,HB_NORTH,HU,56.06,False
2026-01-03,21,3,HB_NORTH,HU,45.81,False
2026-01-03,21,4,HB_NORTH,HU,42.77,False
2026-01-03,22,1,HB_NORTH,HU,37.69,False
2026-01-03,22,2,HB_NORTH,HU,31.7,False
2026-01-03,22,3,HB_NORTH,HU,29.92,False
2026-01-03,22,4,HB_NORTH,HU,28.63,False
2026-01-03,23,1,HB_NORTH,HU,26.09,False
2026-01-03,23,2,HB_NORTH,HU,23.66,False
2026-01-03,23,3,HB_NORTH,HU,23.04,False
2026-01-03,23,4,HB_NORTH,HU,23.02,False
2026-01-03,24,1,HB_NORTH,HU,20.69,False
2026-01-03,24,2,HB_NORTH,HU,19.87,False
2026-01-03,24,3,HB_NORTH,HU,18.42,False
2026-01-03,24,4,HB_NORTH,HU,19.5,False
2026-01-02,1,1,HB_NORTH,HU,18.92,False
2026-01-02,1,2,HB_NORTH,HU,18.79,False
2026-01-02,1,3,HB_NORTH,HU,19.56,False
2026-01-02,1,4,HB_NORTH,HU,19.14,False
2026-01-02,2,1,HB_NORTH,HU,18.31,False
2026-01-02,2,2,HB_NORTH,HU,16.35,False
2026-01-02,2,3,HB_NORTH,HU,16.27,False
2026-01-02,2,4,HB_NORTH,HU,16.09,False
2026-01-02,3,1,HB_NORTH,HU,15.74,False
2026-01-02,3,2,HB_NORTH,HU,16.04,False
2026-01-02,3,3,HB_NORTH,HU,15.34,False
2026-01-02,3,4,HB_NORTH,HU,14.54,False
